name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
new york city,1/1/2015,38.7,27.3,32.8,35.8,17.1,25.6,9.6,37.7,0,0,0,,0,0,28.4,13.3,251.4,1018.5,7.3,9.9,114.3,9.9,5,,2015-01-01T07:20:09,2015-01-01T16:39:07,0.38,Clear,Clear conditions throughout the day.,clear-day,"72505394728,KLGA,KNYC,72503014732"
new york city,1/2/2015,42.2,36,38.6,36.5,28.1,32.2,16.8,41,0,0,0,,0,0,28.4,16.1,270.3,1022.8,31.5,9.9,110.6,9.5,5,,2015-01-02T07:20:15,2015-01-02T16:39:58,0.41,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72505394728,KLGA,KNYC,72503014732"
new york city,1/3/2015,40.7,33.5,35.8,35,25.9,30.2,26.1,69.4,0.657,100,45.83,"rain,snow",0,0,23,9.8,69.8,1031.1,65.1,6.3,61.9,5.2,3,,2015-01-03T07:20:19,2015-01-03T16:40:50,0.45,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow.,rain,"72505394728,KLGA,KNYC,72503014732"
new york city,1/4/2015,55.4,41,48.2,55.4,36.6,46.6,44.6,87.4,0.352,100,45.83,rain,0,0,30.5,16.6,245.7,1010.4,91.5,6.8,43.2,3.8,3,,2015-01-04T07:20:20,2015-01-04T16:41:44,0.5,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"72505394728,KLGA,KNYC,72503014732"
new york city,1/5/2015,50.3,21.8,36.3,50.3,11.4,27.8,12.2,37.1,0,0,0,,0,0,44.8,24.2,290.5,1019.2,33.1,9.9,115.3,9.9,5,,2015-01-05T07:20:19,2015-01-05T16:42:40,0.52,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72505394728,KLGA,KNYC,72503014732"
new york city,1/6/2015,21.8,18.8,20.5,21.6,7.4,14,7.3,57.9,0.05,100,16.67,snow,0.2,0.1,24.2,15,290.6,1024.2,62,7.1,24.1,2.1,1,,2015-01-06T07:20:16,2015-01-06T16:43:36,0.55,"Snow, Partially cloudy",Partly cloudy throughout the day with snow in the morning and afternoon.,snow,"72505394728,KLGA,KNYC,72503014732"
new york city,1/7/2015,23.3,10.1,19.2,12.4,-7.2,6,2.5,48.8,0,0,0,,0.1,0.2,35.5,21.7,292,1016.8,34.5,9.8,78.3,6.7,3,,2015-01-07T07:20:11,2015-01-07T16:44:35,0.58,Partially cloudy,Becoming cloudy in the afternoon.,snow,"72505394728,KLGA,KNYC,72503014732"
new york city,1/8/2015,20,8.1,14.2,11.5,-8.3,1.3,-4.1,43.5,0,0,0,,0,0,30.2,14.8,271.9,1027.5,10.4,9.9,117.3,10,5,,2015-01-08T07:20:03,2015-01-08T16:45:34,0.61,Clear,Clear conditions throughout the day.,clear-day,"72505394728,KLGA,KNYC,72503014732"
new york city,1/9/2015,32.9,18.8,26.4,25.7,8.2,16.2,8.9,48.2,0.075,100,8.33,snow,0.2,0.1,30,19.7,249.2,1018.3,55,8.7,66.2,5.9,3,,2015-01-09T07:19:53,2015-01-09T16:46:35,0.65,"Snow, Partially cloudy",Partly cloudy throughout the day with morning snow.,snow,"72505394728,KLGA,KNYC,72503014732"
new york city,1/10/2015,23.3,16.3,19.9,16.3,2.9,8.9,-0.9,39.7,0,0,0,,0.1,0.2,28.9,13.9,277,1030.3,2.4,9.9,124.7,10.7,5,,2015-01-10T07:19:41,2015-01-10T16:47:37,0.68,Clear,Clear conditions throughout the day.,snow,"72505394728,KLGA,KNYC,72503014732"
